RouteID,RouteName,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,RouteLength,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,DailyRides,WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership
13469,469.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,ירושלים,קדומים,בינעירוני,מאסף,סדיר,112.0,0.2,47.0,51.34,130.89,4.0,27.0,66.9,457.8,17.0,0.0,0.0,16.2,0.0,0.0,19.4,15.6,0.0,0.0,8.2,19.4,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,שישי - 12:00-14:59
13469,469.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,קדומים,ירושלים,בינעירוני,מאסף,סדיר,111.4,0.1,44.0,49.93,133.87,4.0,28.0,52.1,355.2,12.7,0.0,0.0,2.0,29.2,0.0,16.3,4.2,0.0,0.0,16.7,18.3,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,ימי חול - 09:00-11:59
13469,469.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,ירושלים,קדומים,בינעירוני,מאסף,סדיר,112.0,0.2,47.0,50.83,132.21,4.0,28.0,80.0,545.4,19.5,0.0,0.0,19.4,0.0,0.0,21.3,19.1,0.0,0.0,5.5,10.8,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,שישי - 12:00-14:59
13469,469.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,קדומים,ירושלים,בינעירוני,מאסף,סדיר,111.4,0.1,44.0,50.04,133.57,4.0,27.0,66.7,417.3,15.5,0.0,0.0,11.8,27.4,0.0,22.0,4.8,0.0,0.0,15.5,13.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,ימי חול - 09:00-11:59
13471,471.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,ראש העין,תל אביב יפו,עירוני,מקומי מאסף,סדיר,30.1,0.3,51.0,25.3,71.38,17.0,85.0,144.7,723.5,8.5,0.0,0.0,18.2,7.9,9.8,4.8,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13471,471.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,תל אביב יפו,ראש העין,עירוני,מקומי מאסף,סדיר,30.4,0.3,55.0,26.15,69.75,17.0,85.0,145.6,733.1,8.6,1.3,0.0,0.0,3.5,10.4,14.3,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 15:00-18:59
13471,471.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,ראש העין,תל אביב יפו,עירוני,מקומי מאסף,סדיר,30.1,0.4,51.0,23.94,75.44,17.0,85.0,192.3,961.5,11.3,0.0,0.0,18.9,12.5,13.6,7.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13471,471.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,תל אביב יפו,ראש העין,עירוני,מקומי מאסף,סדיר,30.3,0.4,55.0,24.78,73.37,17.0,85.0,224.1,1125.0,13.2,3.2,0.0,0.0,6.3,15.1,19.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 15:00-18:59
13472,472.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,ירושלים,מטה בנימין,אזורי,מאסף,סדיר,25.2,0.3,28.0,24.87,60.8,4.0,20.0,34.6,173.0,8.6,0.0,0.0,0.0,0.0,8.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 15:00-18:59
13472,472.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,מטה בנימין,ירושלים,אזורי,מאסף,סדיר,25.7,0.9,26.0,30.59,50.41,5.0,25.0,119.7,598.5,23.9,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13472,472.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,ירושלים,מטה בנימין,אזורי,מאסף,סדיר,25.2,0.3,28.0,25.07,60.31,4.0,20.0,29.9,149.5,7.5,0.0,0.0,0.0,0.0,7.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 12:00-14:59
